Codice_scuola, Perc_certificato_agibilita_abitabilita, Perc_certificato_collaudo_statico, Perc_certificato_omologazione_centrale_termi, Perc_certificato_prevenzione_incendi_cpi, Perc_nullaosta_provvisorio_prevenzione_incendi_nop, Perc_certificato_collaudo_impianto_spegnimento, Perc_documento_valutazione_rischio, Perc_piano_emergenza, Perc_Media
MIEE8F0015, 100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,0.0 ,100.0 ,100.0 ,87.5
BLEE83002A, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0
VTEE820019, 0.0 ,100.0 ,0.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,50.0
TOSD02000L, 0.0 ,66.66666666666667 ,100.0 ,33.333333333333336 ,33.333333333333336 ,66.66666666666667 ,100.0 ,100.0 ,62.50000000000001
BAEE124007, 0.0 ,100.0 ,100.0 ,0.0 ,100.0 ,0.0 ,100.0 ,100.0 ,62.5
TAEE86802T, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0
MERI01101A, 0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,0.0 ,0.0 ,25.0
BSMM851017, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0
SAEE823016, 100.0 ,100.0 ,100.0 ,100.0 ,0.0 ,100.0 ,100.0 ,100.0 ,87.5
RCTL03401R, 0.0 ,100.0 ,100.0 ,0.0 ,100.0 ,100.0 ,0.0 ,0.0 ,50.0
VAIC822006, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
VBEE818028, 100.0 ,0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
RMEE00701T, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
NOMM80701Q, 50.0 ,50.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,37.5
BGTF032011, 0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,37.5
BGMM86002E, 0.0 ,100.0 ,100.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
AGEE80703V, 0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,25.0
FOIC826006, 0.0 ,0.0 ,100.0 ,100.0 ,0.0 ,0.0 ,100.0 ,100.0 ,50.0
RNEE81005P, 0.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,87.5
FGMM828044, 0.0 ,100.0 ,0.0 ,0.0 ,0.0 ,0.0 ,100.0 ,100.0 ,37.5
CNEE83802C, 100.0 ,100.0 ,100.0 ,0.0 ,100.0 ,100.0 ,100.0 ,100.0 ,87.5
UDTF01401P, 66.66666666666667 ,100.0 ,100.0 ,33.333333333333336 ,0.0 ,66.66666666666667 ,0.0 ,0.0 ,45.833333333333336
